Date,TractID,Season,Holiday,Weekday,Workingday,Temp,Humidity,Windspeed,Weather,Casual,Reg,TotalCnt
2013-01-03,9,1,0,4,1,1,53,10,2,1,10,11
2013-01-03,10,1,0,4,1,1,53,10,2,0,11,11
2013-01-03,14,1,0,4,1,1,53,10,2,0,4,4
2013-01-03,15,1,0,4,1,1,53,10,2,0,8,8
2013-01-03,16,1,0,4,1,1,53,10,2,1,41,42
2013-01-03,17,1,0,4,1,1,53,10,2,1,34,35
2013-01-03,18,1,0,4,1,1,53,10,2,2,37,39
2013-01-03,19,1,0,4,1,1,53,10,2,2,67,69
2013-01-03,20,1,0,4,1,1,53,10,2,0,15,15
2013-01-03,21,1,0,4,1,1,53,10,2,1,28,29
2013-01-03,22,1,0,4,1,1,53,10,2,0,8,8
2013-01-03,25,1,0,4,1,1,53,10,2,3,81,84
2013-01-03,26,1,0,4,1,1,53,10,2,3,52,55
2013-01-03,27,1,0,4,1,1,53,10,2,4,122,126
2013-01-03,28,1,0,4,1,1,53,10,2,1,61,62
2013-01-03,29,1,0,4,1,1,53,10,2,2,57,59
2013-01-03,30,1,0,4,1,1,53,10,2,0,59,59
2013-01-03,31,1,0,4,1,1,53,10,2,0,26,26
2013-01-03,32,1,0,4,1,1,53,10,2,4,33,37
2013-01-03,34,1,0,4,1,1,53,10,2,1,60,61
2013-01-03,36,1,0,4,1,1,53,10,2,12,229,241
2013-01-03,37,1,0,4,1,1,53,10,2,2,51,53
2013-01-03,38,1,0,4,1,1,53,10,2,9,179,188
2013-01-03,39,1,0,4,1,1,53,10,2,32,180,212
2013-01-03,40,1,0,4,1,1,53,10,2,1,96,97
2013-01-03,41,1,0,4,1,1,53,10,2,98,140,238
2013-01-03,42,1,0,4,1,1,53,10,2,6,30,36
2013-01-03,43,1,0,4,1,1,53,10,2,1,29,30
2013-01-03,44,1,0,4,1,1,53,10,2,0,27,27
2013-01-03,45,1,0,4,1,1,53,10,2,2,16,18
2013-01-03,46,1,0,4,1,1,53,10,2,2,91,93
2013-01-03,47,1,0,4,1,1,53,10,2,1,18,19
2013-01-03,48,1,0,4,1,1,53,10,2,2,48,50
2013-01-03,50,1,0,4,1,1,53,10,2,0,2,2
2013-01-03,51,1,0,4,1,1,53,10,2,0,1,1
2013-01-03,52,1,0,4,1,1,53,10,2,0,2,2
2013-01-03,53,1,0,4,1,1,53,10,2,0,3,3
2013-01-03,55,1,0,4,1,1,53,10,2,1,84,85
2013-01-03,56,1,0,4,1,1,53,10,2,1,31,32
2013-01-03,57,1,0,4,1,1,53,10,2,1,56,57
2013-01-03,58,1,0,4,1,1,53,10,2,2,30,32
2013-01-03,59,1,0,4,1,1,53,10,2,0,17,17
2013-01-03,60,1,0,4,1,1,53,10,2,0,12,12
2013-01-03,61,1,0,4,1,1,53,10,2,0,11,11
2013-01-03,63,1,0,4,1,1,53,10,2,0,9,9
2013-01-03,64,1,0,4,1,1,53,10,2,0,2,2
2013-01-03,65,1,0,4,1,1,53,10,2,0,1,1
2013-01-03,67,1,0,4,1,1,53,10,2,10,164,174
2013-01-03,68,1,0,4,1,1,53,10,2,27,113,140
2013-01-03,70,1,0,4,1,1,53,10,2,0,29,29
2013-01-03,71,1,0,4,1,1,53,10,2,3,186,189
2013-01-03,72,1,0,4,1,1,53,10,2,23,345,368
2013-01-03,73,1,0,4,1,1,53,10,2,9,114,123
2013-01-03,76,1,0,4,1,1,53,10,2,1,29,30
2013-01-03,77,1,0,4,1,1,53,10,2,3,45,48
2013-01-03,78,1,0,4,1,1,53,10,2,0,32,32
2013-01-03,79,1,0,4,1,1,53,10,2,1,28,29
2013-01-03,80,1,0,4,1,1,53,10,2,0,10,10
2013-01-03,81,1,0,4,1,1,53,10,2,0,7,7
2013-01-03,92,1,0,4,1,1,53,10,2,0,51,51
2013-01-03,93,1,0,4,1,1,53,10,2,0,17,17
2013-01-03,94,1,0,4,1,1,53,10,2,0,3,3
2013-01-03,96,1,0,4,1,1,53,10,2,2,9,11
2013-01-03,97,1,0,4,1,1,53,10,2,2,5,7
2013-01-03,98,1,0,4,1,1,53,10,2,3,22,25
2013-01-03,114,1,0,4,1,1,53,10,2,0,3,3
2013-01-04,1,1,0,5,1,3,54,12,1,5,68,73
2013-01-04,2,1,0,5,1,3,54,12,1,5,18,23
2013-01-04,3,1,0,5,1,3,54,12,1,1,12,13
2013-01-04,4,1,0,5,1,3,54,12,1,0,16,16
2013-01-04,5,1,0,5,1,3,54,12,1,0,20,20
2013-01-04,6,1,0,5,1,3,54,12,1,1,11,12
2013-01-04,7,1,0,5,1,3,54,12,1,0,3,3
2013-01-04,8,1,0,5,1,3,54,12,1,1,13,14
2013-01-04,9,1,0,5,1,3,54,12,1,0,8,8
2013-01-04,10,1,0,5,1,3,54,12,1,0,12,12
2013-01-04,14,1,0,5,1,3,54,12,1,0,5,5
2013-01-04,15,1,0,5,1,3,54,12,1,0,6,6
2013-01-04,16,1,0,5,1,3,54,12,1,1,60,61
2013-01-04,17,1,0,5,1,3,54,12,1,0,33,33
2013-01-04,18,1,0,5,1,3,54,12,1,1,52,53
2013-01-04,19,1,0,5,1,3,54,12,1,3,74,77
2013-01-04,20,1,0,5,1,3,54,12,1,0,25,25
2013-01-04,21,1,0,5,1,3,54,12,1,2,26,28
2013-01-04,22,1,0,5,1,3,54,12,1,0,12,12
2013-01-04,25,1,0,5,1,3,54,12,1,1,88,89
2013-01-04,26,1,0,5,1,3,54,12,1,2,53,55
2013-01-04,27,1,0,5,1,3,54,12,1,7,129,136
2013-01-04,28,1,0,5,1,3,54,12,1,2,88,90
2013-01-04,29,1,0,5,1,3,54,12,1,3,66,69
2013-01-04,30,1,0,5,1,3,54,12,1,0,78,78
2013-01-04,31,1,0,5,1,3,54,12,1,1,35,36
2013-01-04,32,1,0,5,1,3,54,12,1,1,47,48
2013-01-04,34,1,0,5,1,3,54,12,1,8,89,97
2013-01-04,36,1,0,5,1,3,54,12,1,13,264,277
2013-01-04,37,1,0,5,1,3,54,12,1,0,53,53
2013-01-04,38,1,0,5,1,3,54,12,1,12,184,196
2013-01-04,39,1,0,5,1,3,54,12,1,27,191,218
2013-01-04,40,1,0,5,1,3,54,12,1,4,100,104
2013-01-04,41,1,0,5,1,3,54,12,1,80,112,192
2013-01-04,42,1,0,5,1,3,54,12,1,1,39,40
2013-01-04,43,1,0,5,1,3,54,12,1,0,36,36
2013-01-04,44,1,0,5,1,3,54,12,1,0,31,31
2013-01-04,45,1,0,5,1,3,54,12,1,0,19,19
